WKT,Nombre,Descripción,name
"POINT (-100.3198514 25.6757095)",PR1,PR1,PR1
"POINT (-100.3212676 25.6753614)",PR2,PR2,PR2
"POINT (-100.3183923 25.6748676)",PR3,PR3,PR3
"POINT (-100.3185615 25.6743948)",PR4,PR4,PR4
"POINT (-100.3182825 25.6758065)",PR5,PR5,PR5
"POINT (-100.3175959 25.6756711)",PR6,PR6,PR6
"POINT (-100.3191838 25.6758452)",PR7,PR7,PR7
"POINT (-100.3193554 25.675265)",PR8,PR8,PR8
"POINT (-100.3194198 25.6745881)",PR9,PR9,PR9
"POINT (-100.3227886 25.6762706)",PR10,PR10,PR10
"POINT (-100.3144998 25.6762513)",PR11,PR11,PR11
"POINT (-100.318963 25.6843733)",PR12,PR12,PR12
"POINT (-100.318169 25.6860577)",PR13,PR13,PR13
"POINT (-100.3168387 25.686135)",PR14,PR14,PR14
"POINT (-100.3181798 25.6846412)",PR15,PR15,PR15
"POINT (-100.3172142 25.6846122)",PR16,PR16,PR16
"POINT (-100.3073329 25.6852841)",PR17,PR17,PR17
"POINT (-100.3057286 25.683974)",PR18,PR18,PR18
"POINT (-100.3040764 25.6838097)",PR19,PR19,PR19
"POINT (-100.3060827 25.6823207)",PR20,PR20,PR20
"POINT (-100.3044412 25.6812185)",PR21,PR21,PR21
"POINT (-100.3050646 25.6805315)",PR22,PR22,PR22
"POINT (-100.3053221 25.6787523)",PR23,PR23,PR23
"POINT (-100.3067383 25.6703398)",PR24,PR24,PR24
"POINT (-100.2991852 25.6706879)",PR25,PR25,PR25
"POINT (-100.2994856 25.6686572)",PR26,PR26,PR26
"POINT (-100.3081545 25.6636674)",PR27,PR27,PR27
"POINT (-100.3059229 25.6694889)",PR28,PR28,PR28
"POINT (-100.3260073 25.6671874)",PR29,PR29,PR29
"POINT (-100.3308782 25.6815564)",PR30,PR30,PR30
"POINT (-100.3210291 25.6767411)",PR31,PR31,PR31
"POINT (-100.3232071 25.6780136)",PR32,PR32,PR32
"POINT (-100.3060839 25.6649497)",PR33,PR33,PR33
"POINT (-100.3229054 25.6849167)",PR34,PR34,PR34
"POINT (-100.3239796 25.6859996)",PR35,´PR35,PR35
"POINT (-100.3253529 25.6852648)",PR36,PR36,PR36
"POINT (-100.3200746 25.6863712)",PR84,PR84,PR84
"POINT (-100.322046 25.6768856)",PR38,PR38,PR38
"POINT (-100.3260916 25.6680484)",PR39,PR39,PR39
"POINT (-100.3315526 25.6738068)",PR40,PR40,PR40
"POINT (-100.3267193 25.6730381)",PR41,PR41,PR41
"POINT (-100.3229749 25.6752041)",PR42,PR42,PR42
"POINT (-100.3231466 25.6760066)",PR43,PR43,PR43
"POINT (-100.3231251 25.6764128)",PR44,PR44,PR44
"POINT (-100.3214514 25.6766448)",PR45,PR45,PR45
"POINT (-100.3194988 25.6764804)",PR46,PR46,PR46
"POINT (-100.3193057 25.6766835)",PR47,PR47,PR47
"POINT (-100.3189945 25.6766255)",PR48,PR48,PR48
